,Title,Body,Id,Len_tags,New_len_tags,Tags,Title_bow_lem,Text_bow_lem,Length_bow_title,Length_bow_text,Text_Title
12683,Reading integers from binary file in Python,"<p>I'm trying to read a <a href=""http://en.wikipedia.org/wiki/BMP_file_format"" rel=""noreferrer"">BMP</a> file in Python. I know the first two bytes 
indicate the BMP firm. The next 4 bytes are the file size. When I execute:</p>

<pre><code>fin = open(""hi.bmp"", ""rb"")
firm = fin.read(2)  
file_size = int(fin.read(4))  
</code></pre>

<p>I get:</p>

<blockquote>
  <p>ValueError: invalid literal for int() with base 10: 'F#\x13'</p>
</blockquote>

<p>What I want to do is reading those four bytes as an integer, but it seems Python is reading them as characters and returning a string, which cannot be converted to an integer. How can I do this correctly?  </p>
",1163459,4,1,['python'],integer file,file python byte bmp firm byte file size valueerror literal int base byte integer character string integer,2,17,integer file file python byte bmp firm byte file size valueerror literal int base byte integer character string integer
25667,"""usort"" a Doctrine\Common\Collections\ArrayCollection?","<p>In various cases I need to sort a <code>Doctrine\Common\Collections\ArrayCollection</code> according to a property in the object. Without finding a method doing that right away, I do this:</p>

<pre><code>// $collection instanceof Doctrine\Common\Collections\ArrayCollection
$array = $collection-&gt;getValues();
usort($array, function($a, $b){
    return ($a-&gt;getProperty() &lt; $b-&gt;getProperty()) ? -1 : 1 ;
});

$collection-&gt;clear();
foreach ($array as $item) {
    $collection-&gt;add($item);
}
</code></pre>

<p>I presume this is not the best way when you have to copy everything to native PHP array and back. I wonder if there is a better way to ""usort"" a <code>Doctrine\Common\Collections\ArrayCollection</code>. Do I miss any doc?</p>
",16705425,3,1,['php'],usort collection arraycollection,case property object method way php array wonder way usort doc,3,11,usort collection arraycollection case property object method way php array wonder way usort doc
26912,What is the difference between char a[] = ?string?; and char *p = ?string?;?,"<p>As the heading says, What is the difference between </p>

<pre><code>char a[] = ?string?; and 
char *p = ?string?;  
</code></pre>

<p>This question was asked to me in interview.
I even dont understand the statement.</p>

<pre><code>char a[] = ?string?
</code></pre>

<p>Here what is <code>?</code> operator? Is it a part of a string or it has some specific meaning?</p>
",9460260,2,1,['c++'],difference char string char string,heading difference question interview statement operator part string meaning,5,9,difference char string char string heading difference question interview statement operator part string meaning
1047,Making a short alias for document.querySelectorAll,"<p>I'm running <code>document.querySelectorAll()</code> frequently, and would like a short alias for it.</p>
<pre><code>var queryAll = document.querySelectorAll

queryAll('body')
TypeError: Illegal invocation
</code></pre>
<p>Doesn't work. Whereas:</p>
<pre><code>document.querySelectorAll('body')
</code></pre>
<p>Still does. How can I make the alias work?</p>
",13383886,2,1,['javascript'],alia document,alia work alia work,2,4,alia document alia work alia work
17164,Where is android_sdk_root? and how do I set it.?,"<p>I set the android_sdk_home variable so that my application could find .android when trying to run. Now I get an error stating that ""android_sdk_root is undefined"". 
I am running win 7 with a new installation of Android Studio, inside parallels on a macbook pro. </p>

<p>Thank you for your response. I checked the location and it is identified as the same location as the ANDROID_SDK_HOME environment path. It still says root is undefined. I created an ANDROID_SDK_ROOT enviroment path to the same location and it is still undefined. </p>
",29391511,1,1,['android'],,variable application error win installation studio parallel macbook pro response location location environment root path location,0,16, variable application error win installation studio parallel macbook pro response location location environment root path location
7264,MessageBodyWriter not found for media type=application/json,"<p>I am facing issues while consuming JAX-RS services as JSON.</p>

<p>Below I have added my code.</p>

<p>This is my service class:</p>

<pre><code>//Sets the path to base URL + /hello
@Path(""/hello"") 
@Consumes(MediaType.APPLICATION_JSON)
@Produces(MediaType.APPLICATION_JSON)
public class Hello {

    @GET
    @Produces(""application/json"")
    public Student getStudent() {

        Student s = new Student();
        s.first_name = ""Test First Name !!!"";
        s.last_name = ""Test Last Name!!!"";

        return s;
    }
</code></pre>

<p><code>Student</code> class which I am trying to get from service:</p>

<pre><code>@XmlRootElement
public class Student implements Serializable {

    public String first_name;
    public String last_name;

    public String getFirst_name() {
        return first_name;
    }

    public void setFirst_name(String first_name) {
        this.first_name = first_name;
    }

    public String getLast_name() {
        return last_name;
    }

    public void setLast_name(String last_name) {
        this.last_name = last_name;
    }

    public Student()
    {
        first_name = ""Fahad"";
        last_name = ""Mullaji"";
    }
}
</code></pre>

<p>Web XML on service side.</p>

<pre class=""lang-xml prettyprint-override""><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;web-app xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
    xmlns=""http://java.sun.com/xml/ns/javaee""
    xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_3_0.xsd""
    id=""WebApp_ID"" version=""3.0""&gt;
    &lt;display-name&gt;com.vogella.jersey.first&lt;/display-name&gt;
    &lt;servlet&gt;
        &lt;servlet-name&gt;Jersey REST Service&lt;/servlet-name&gt;
        &lt;servlet-class&gt;org.glassfish.jersey.servlet.ServletContainer&lt;/servlet-class&gt;
        &lt;!-- Register resources and providers under com.vogella.jersey.first package. --&gt;
        &lt;init-param&gt;
            &lt;param-name&gt;jersey.config.server.provider.packages&lt;/param-name&gt;
            &lt;param-value&gt;com.vogella.jersey.first&lt;/param-value&gt;
        &lt;/init-param&gt;
        &lt;init-param&gt;
            &lt;param-name&gt;com.sun.jersey.api.json.POJOMappingFeature&lt;/param-name&gt;
            &lt;param-value&gt;true&lt;/param-value&gt;
        &lt;/init-param&gt;

        &lt;load-on-startup&gt;1&lt;/load-on-startup&gt;
    &lt;/servlet&gt;
    &lt;servlet-mapping&gt;
        &lt;servlet-name&gt;Jersey REST Service&lt;/servlet-name&gt;
        &lt;url-pattern&gt;/rest/*&lt;/url-pattern&gt;
    &lt;/servlet-mapping&gt;
&lt;/web-app&gt; 
</code></pre>

<p>I don't know how to fix this issue.
I am using SOAP UI for testing JSON response but I guess that it should not matter.</p>

<p>Many places I read that I need to add the code below. But I don't know where. I am not using Maven for building.</p>

<pre><code>&lt;dependency&gt;
    &lt;groupId&gt;org.glassfish.jersey.media&lt;/groupId&gt;
    &lt;artifactId&gt;jersey-media-moxy&lt;/artifactId&gt;
&lt;/dependency&gt;
</code></pre>

<p>Server is looking for function to parse <code>Student</code> object to JSON but it is not able to find function or jar file for it. 
I have added jar of Genson, Moxy, RESTEasy and Jackson but I think that's the problem.
I think I am missing mapping somewhere.</p>
",26207252,4,1,['java'],medium type application json,issue r service json code service class class service web xml service side don issue soap ui json response place code don maven building server function object json function jar file jar genson moxy resteasy jackson problem mapping,4,38,medium type application json issue r service json code service class class service web xml service side don issue soap ui json response place code don maven building server function object json function jar file jar genson moxy resteasy jackson problem mapping
2184,How do I separate an integer into separate digits in an array in JavaScript?,"<p>This is my code so far:</p>

<pre><code>var n = 123456789;
var d = n.toString().length;
var digits = [];
var squaredDigits = [];
for (i = d; i &gt;= 1; i--) {
    var j = k / 10;
    var r = (n % k / j) - 0.5;
    var k = Math.pow(10, i);
    var result = r.toFixed(); 
    digits.push(result);
}

console.log(digits);
</code></pre>

<p>But when I run my code I get this: <code>[9, 1, 2, 3, 4, 5, 6, 7, 8]</code></p>

<p>If anyone can see the problem or find a better solution I would very much appreciate it!</p>
",9914216,3,2,"['javascript', 'arrays']",integer digit array javascript,code code problem solution,4,4,integer digit array javascript code code problem solution
20333,Field vs Property. Optimisation of performance,"<p>Please note this question related to performance only. Lets skip design guidelines, philosophy, compatibility, portability and anything what is not related to pure performance. Thank you.</p>

<p>Now to the question. I always assumed that because C# getters/setters are really methods in disguise then reading public field must be faster than calling a getter.</p>

<p>So to make sure I did a test (the code below). However this test only produces expected results (ie <strong>fields are faster than getters at 34%</strong>) <strong>if</strong> you run it from inside Visual Studio.</p>

<p>Once you run it from command line it shows pretty much the same timing...</p>

<p>The only explanation could be is that the CLR does additional optimisation (correct me if I am wrong here).</p>

<p>I do not believe that in real application where those properties being used in much more sophisticated way they will be optimised in the same way. </p>

<p>Please help me to prove or disprove the idea that in real life properties are slower than fields.</p>

<p><strong>The question is - how should I modify the test classes to make the CLR change behaviour so the public field outperfroms the getters. OR show me that any property without internal logic will perform the same as a field (at least on the getter)</strong></p>

<p><em>EDIT: I am only talking about Release x64 build.</em></p>

<pre><code>using System;
using System.Collections.Generic;
using System.Linq;
using System.Text;
using System.Diagnostics;
using System.Runtime.InteropServices;

namespace PropertyVsField
{
    class Program
    {
        static int LEN = 20000000;
        static void Main(string[] args)
        {
            List&lt;A&gt; a = new List&lt;A&gt;(LEN);
            List&lt;B&gt; b = new List&lt;B&gt;(LEN);

            Random r = new Random(DateTime.Now.Millisecond);

            for (int i = 0; i &lt; LEN; i++)
            {
                double p = r.NextDouble();
                a.Add(new A() { P = p });
                b.Add(new B() { P = p });
            }

            Stopwatch sw = new Stopwatch();

            double d = 0.0;

            sw.Restart();
            for (int i = 0; i &lt; LEN; i++)
            {
                d += a[i].P;
            }

            sw.Stop();

            Console.WriteLine(""auto getter. {0}. {1}."", sw.ElapsedTicks, d);

            sw.Restart();
            for (int i = 0; i &lt; LEN; i++)
            {
                d += b[i].P;
            }

            sw.Stop();

            Console.WriteLine(""      field. {0}. {1}."", sw.ElapsedTicks, d);

            Console.ReadLine();
        }
    }

    class A
    {
        public double P { get; set; }
    }
    class B
    {
        public double P;
    }
}
</code></pre>
",9842917,5,2,"['c#', '.net']",field property optimisation performance,question performance design guideline philosophy compatibility portability performance question getter setter method disguise field getter code test result field getter studio command line timing explanation clr optimisation application property way way idea life property question test class clr change behaviour field getter property logic field getter edit release,4,48,field property optimisation performance question performance design guideline philosophy compatibility portability performance question getter setter method disguise field getter code test result field getter studio command line timing explanation clr optimisation application property way way idea life property question test class clr change behaviour field getter property logic field getter edit release
10902,Django Admin nested inline,"<p>I need a nested django admin inline,
which I can include the date field inlines in an other inline like below.</p>
<p>I have the models below:</p>
<pre><code>class Person(models.Model):
     name = models.CharField(max_length=200)
     id_no = models.IntegerField()

class Certificate(models.Model):
     cerfificate_no = models.CharField(max_length=200)
     certificate_date = models.DateField(max_length=100)
     person = models.ForeignKey(Person)
     training = models.CharField(max_length=200)

class Training_Date(models.Model):
      date = models.DateField()
      certificate = models.ForeignKey(Certificate)
</code></pre>
<p>And, the admin below:</p>
<pre><code>class CertificateInline(admin.StackedInline):
    model = Certificate

class PersonAdmin(admin.ModelAdmin):
     inlines = [CertificateInline,]
admin.site.register(Person,PersonAdmin)
</code></pre>
<p>But, I need to include the Training_Date model as inline which is part of Certificate admin inline.</p>
<p>Any idea?</p>
",14308050,5,2,"['python', 'django']",django admin inline,django admin inline date field inline model admin training_date model inline part certificate admin idea,3,15,django admin inline django admin inline date field inline model admin training_date model inline part certificate admin idea
11227,Django ModelForm with extra fields that are not in the model,"<p>I have done a ModelForm adding some extra fields that <strong>are not</strong> in the model. I use these fields for some calcualtions when saving the form.</p>

<p>The extra fields appear on the form and they are sent in the POST request when uploading the form. The problem is they are not added to the <code>cleaned_data</code> dictionary when I validate the form. How can I access them?</p>
",2229039,3,2,"['python', 'django']",django field model,modelform field model field calcualtion form field form post request form problem dictionary form,3,14,django field model modelform field model field calcualtion form field form post request form problem dictionary form
